author,record_count,platforms,primary_categories,tier,website,role,representative_titles,representative_urls,time_slices,x_twitter,linkedin,github,external_verification_status
agentconn.com,4,agentconn.com,self_evolving_agent,Tier 3,https://agentconn.com,unknown,"GenericAgent and EvoMap: How AI Grows Its Own Skill Trees - AgentConn Blog ; Self-Evolving AI Agents Are Here: MiniMax M2.7, Darwin-Gödel, and the Rise of Self-Improving Models - AgentConn Blog ; GenericAgent and EvoMap: How AI Grows Its Own Skill Trees - AgentConn Blog ; Self-Evolving AI Agents Are Here: MiniMax M2.7, Darwin-Gödel, and the Rise of Self-Improving Models - AgentConn Blog",https://agentconn.com/blog/self-evolving-ai-agents-genericagent-evomap-skill-trees-guide/ ; https://agentconn.com/blog/self-evolving-ai-agents-minimax-m27-darwin-godel-2026/ ; https://agentconn.com/blog/self-evolving-ai-agents-genericagent-evomap-skill-trees-guide/ ; https://agentconn.com/blog/self-evolving-ai-agents-minimax-m27-darwin-godel-2026/,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
aws.amazon.com,4,aws.amazon.com,"tutorial_or_implementation, agent_framework",Tier 3,https://aws.amazon.com,unknown,Agentic AI基础设施实践经验系列（一）：Agent应用开发与 ... - AWS ; Agentic AI基础设施实践经验系列（三）：Agent记忆模块的最佳实践 ; Agentic AI基础设施实践经验系列（一）：Agent应用开发与 ... - AWS ; Agentic AI基础设施实践经验系列（三）：Agent记忆模块的最佳实践,https://aws.amazon.com/cn/blogs/china/agentive-ai-infrastructure-practice-series-1/ ; https://aws.amazon.com/cn/blogs/china/agentic-ai-infrastructure-deep-practice-experience-thinking-series-three-best-practices-for-agent-memory-module/ ; https://aws.amazon.com/cn/blogs/china/agentive-ai-infrastructure-practice-series-1/ ; https://aws.amazon.com/cn/blogs/china/agentic-ai-infrastructure-deep-practice-experience-thinking-series-three-best-practices-for-agent-memory-module/,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
chatpaper.ai,4,chatpaper.ai,self_evolving_agent,Tier 3,https://www.chatpaper.ai,unknown,多智能体进化：通过协同进化实现大语言模型的自我提升 - ChatPaper.ai ; 自进化智能体研究综述：迈向人工超级智能之路 ; 多智能体进化：通过协同进化实现大语言模型的自我提升 - ChatPaper.ai ; 自进化智能体研究综述：迈向人工超级智能之路,https://www.chatpaper.ai/zh/paper/32ed6ad4-7cc3-4596-9dae-be9059045d93 ; https://www.chatpaper.ai/zh/dashboard/paper/dcb2416b-2f60-42c9-b34e-dba1d10d4cdd ; https://www.chatpaper.ai/zh/paper/32ed6ad4-7cc3-4596-9dae-be9059045d93 ; https://www.chatpaper.ai/zh/dashboard/paper/dcb2416b-2f60-42c9-b34e-dba1d10d4cdd,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
docs.bswen.com,4,docs.bswen.com,"self_evolving_agent, tutorial_or_implementation",Tier 3,https://docs.bswen.com,unknown,Build a Self-Evolving AI Coding Agent in Rust That Improves Itself | BSWEN ; How to Build a Reflection and Meditation System for AI Agents: A Complete Guide | BSWEN ; Build a Self-Evolving AI Coding Agent in Rust That Improves Itself | BSWEN ; How to Build a Reflection and Meditation System for AI Agents: A Complete Guide | BSWEN,https://docs.bswen.com/blog/2026-03-05-self-evolving-ai-agent/ ; https://docs.bswen.com/blog/2026-03-13-ai-agent-reflection-system ; https://docs.bswen.com/blog/2026-03-05-self-evolving-ai-agent/ ; https://docs.bswen.com/blog/2026-03-13-ai-agent-reflection-system,2026-03,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
docs.feishu.cn,4,docs.feishu.cn,agent_framework,Tier 3,https://docs.feishu.cn,unknown,"AI Agent万字长文总结：规划, 工具, 执行, 记忆 - 飞书文档 ; 综述：探索基于大型语言模型的智能体：定义、方法与前景 - 飞书文档 ; AI Agent万字长文总结：规划, 工具, 执行, 记忆 - 飞书文档 ; 综述：探索基于大型语言模型的智能体：定义、方法与前景 - 飞书文档",https://docs.feishu.cn/article/wiki/Y5vwwkyc2iDfunkNrVgcyfERnNe ; https://docs.feishu.cn/article/wiki/Ms10w3VufiBel3kXwDJcq2zxnue ; https://docs.feishu.cn/article/wiki/Y5vwwkyc2iDfunkNrVgcyfERnNe ; https://docs.feishu.cn/article/wiki/Ms10w3VufiBel3kXwDJcq2zxnue,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
openreview.net,4,openreview.net,"agent_framework, agent_discussion_resource",Tier 3,https://openreview.net,Academic researcher/authors,N/A ; N/A ; N/A ; N/A,https://openreview.net/pdf?id=y97eqIuI5y ; https://openreview.net/pdf?id=fDOlevu70z ; https://openreview.net/pdf?id=y97eqIuI5y ; https://openreview.net/pdf?id=fDOlevu70z,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
sohu.com,4,sohu.com,self_evolving_agent,Tier 3,https://www.sohu.com,unknown,从人工驱动到模型自驱：MiniMax M2.7 自进化机制解析及一步API接入实操_实验_能力_Agent ; 自进化人工智能体的全面综述：连接基础模型与终身自主智能系统的新范式_agents_al ; 从人工驱动到模型自驱：MiniMax M2.7 自进化机制解析及一步API接入实操_实验_能力_Agent ; 自进化人工智能体的全面综述：连接基础模型与终身自主智能系统的新范式_agents_al,https://www.sohu.com/a/998341335_121869969 ; https://www.sohu.com/a/971125184_358040 ; https://www.sohu.com/a/998341335_121869969 ; https://www.sohu.com/a/971125184_358040,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
tianpan.co,4,tianpan.co,"agent_discussion_resource, agent_framework",Tier 3,https://tianpan.co,unknown,How Agents Teach Themselves: The Closed-Loop Self-Improvement Architecture ; When Workflow Engines Beat LLM Agents: A Decision Framework for Deterministic Orchestration ; How Agents Teach Themselves: The Closed-Loop Self-Improvement Architecture ; When Workflow Engines Beat LLM Agents: A Decision Framework for Deterministic Orchestration,https://tianpan.co/blog/2026-04-10-agents-teach-themselves-closed-loop-self-improvement ; https://tianpan.co/blog/2026-04-20-workflow-engines-beat-llm-agents ; https://tianpan.co/blog/2026-04-10-agents-teach-themselves-closed-loop-self-improvement ; https://tianpan.co/blog/2026-04-20-workflow-engines-beat-llm-agents,2026-04,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
51cto.com,2,51cto.com,agent_framework,Tier 3,https://www.51cto.com,unknown,构建AI工作流与智能体的信任：持续评估与优化指南 - 51CTO ; 构建AI工作流与智能体的信任：持续评估与优化指南 - 51CTO,https://www.51cto.com/article/824491.html ; https://www.51cto.com/article/824491.html,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
53ai.com,2,53ai.com,self_evolving_agent,Tier 3,https://www.53ai.com,unknown,自进化智能体的四维成长：模型、上下文、工具与架构如何自主迭代 ; 自进化智能体的四维成长：模型、上下文、工具与架构如何自主迭代,https://www.53ai.com/news/LargeLanguageModel/2025090474352.html ; https://www.53ai.com/news/LargeLanguageModel/2025090474352.html,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
@_46ea277e677b888e0cd13,2,Dev.to,self_evolving_agent,Tier 2,https://dev.to,Developer blogger,Hermes Agent: The Self-Evolving AI Agent That Learns From Your Workflow - DEV Community ; Hermes Agent: The Self-Evolving AI Agent That Learns From Your Workflow - DEV Community,https://dev.to/_46ea277e677b888e0cd13/hermes-agent-the-self-evolving-ai-agent-that-learns-from-your-workflow-3j1g ; https://dev.to/_46ea277e677b888e0cd13/hermes-agent-the-self-evolving-ai-agent-that-learns-from-your-workflow-3j1g,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
@agentsindex,2,Dev.to,tutorial_or_implementation,Tier 2,https://dev.to,Developer blogger,LangGraph Tutorial: Build a Working ReAct Agent with the v1.0 API - DEV Community ; LangGraph Tutorial: Build a Working ReAct Agent with the v1.0 API - DEV Community,https://dev.to/agentsindex/langgraph-tutorial-build-a-working-react-agent-with-the-v10-api-3bc1 ; https://dev.to/agentsindex/langgraph-tutorial-build-a-working-react-agent-with-the-v10-api-3bc1,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
@akhileshpothuri,2,Dev.to,tutorial_or_implementation,Tier 2,https://dev.to,Developer blogger,OpenAI Agents SDK Tutorial: Build Multi-Agent AI Systems in Python (2025) - DEV Community ; OpenAI Agents SDK Tutorial: Build Multi-Agent AI Systems in Python (2025) - DEV Community,https://dev.to/akhileshpothuri/openai-agents-sdk-tutorial-build-multi-agent-ai-systems-in-python-2025-1pe5 ; https://dev.to/akhileshpothuri/openai-agents-sdk-tutorial-build-multi-agent-ai-systems-in-python-2025-1pe5,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
@anzal_ansari,2,Dev.to,tutorial_or_implementation,Tier 2,https://dev.to,Developer blogger,Zero to Agent Swarm: A hands-on guide to building AI agents from scratch - DEV Community ; Zero to Agent Swarm: A hands-on guide to building AI agents from scratch - DEV Community,https://dev.to/anzal_ansari/zero-to-agent-swarm-a-hands-on-guide-to-building-ai-agents-from-scratch-45im ; https://dev.to/anzal_ansari/zero-to-agent-swarm-a-hands-on-guide-to-building-ai-agents-from-scratch-45im,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
@arslan_mecom,2,Dev.to,tutorial_or_implementation,Tier 2,https://dev.to,Developer blogger,Building Production AI Agents with @hazeljs/agent - DEV Community ; Building Production AI Agents with @hazeljs/agent - DEV Community,https://dev.to/arslan_mecom/building-production-ai-agents-with-hazeljsagent-1i66 ; https://dev.to/arslan_mecom/building-production-ai-agents-with-hazeljsagent-1i66,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
@askpatrick,2,Dev.to,self_evolving_agent,Tier 2,https://dev.to,Developer blogger,How to build a self-improving AI agent: the nightly loop pattern - DEV Community ; How to build a self-improving AI agent: the nightly loop pattern - DEV Community,https://dev.to/askpatrick/how-to-build-a-self-improving-ai-agent-the-nightly-loop-pattern-njn ; https://dev.to/askpatrick/how-to-build-a-self-improving-ai-agent-the-nightly-loop-pattern-njn,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
@cheney_li_ad7c00bcc8edcb2,2,Dev.to,tutorial_or_implementation,Tier 2,https://dev.to,Developer blogger,"Building AI Agents with Python: A Practical, Open-Source First Guide - DEV Community ; Building AI Agents with Python: A Practical, Open-Source First Guide - DEV Community",https://dev.to/cheney_li_ad7c00bcc8edcb2/building-ai-agents-with-python-a-practical-open-source-first-guide-1klk ; https://dev.to/cheney_li_ad7c00bcc8edcb2/building-ai-agents-with-python-a-practical-open-source-first-guide-1klk,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
@dextralabs,2,Dev.to,tutorial_or_implementation,Tier 2,https://dev.to,Developer blogger,How to Build an AI Agent from Scratch Using Claude API (With Full Code) - DEV Community ; How to Build an AI Agent from Scratch Using Claude API (With Full Code) - DEV Community,https://dev.to/dextralabs/how-to-build-an-ai-agent-from-scratch-using-claude-api-with-full-code-4b40 ; https://dev.to/dextralabs/how-to-build-an-ai-agent-from-scratch-using-claude-api-with-full-code-4b40,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
@evan-dong,2,Dev.to,self_evolving_agent,Tier 2,https://dev.to,Developer blogger,Anthropic's Agents Now Self-Improve Between Sessions. Here's How Dreaming Works. - DEV Community ; Anthropic's Agents Now Self-Improve Between Sessions. Here's How Dreaming Works. - DEV Community,https://dev.to/evan-dong/anthropics-agents-now-self-improve-between-sessions-heres-how-dreaming-works-48l8 ; https://dev.to/evan-dong/anthropics-agents-now-self-improve-between-sessions-heres-how-dreaming-works-48l8,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
@farrukh_tariq_b2d419a76cf,2,Dev.to,self_evolving_agent,Tier 2,https://dev.to,Developer blogger,What Is Hermes Agent? The Self-Improving AI Assistant - DEV Community ; What Is Hermes Agent? The Self-Improving AI Assistant - DEV Community,https://dev.to/farrukh_tariq_b2d419a76cf/what-is-hermes-agent-the-self-improving-ai-assistant-hm5 ; https://dev.to/farrukh_tariq_b2d419a76cf/what-is-hermes-agent-the-self-improving-ai-assistant-hm5,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
@iniyarajan86,2,Dev.to,tutorial_or_implementation,Tier 2,https://dev.to,Developer blogger,LangChain Tutorial for Beginners: Build Your First AI Agent - DEV Community ; LangChain Tutorial for Beginners: Build Your First AI Agent - DEV Community,https://dev.to/iniyarajan86/langchain-tutorial-for-beginners-build-your-first-ai-agent-3klo ; https://dev.to/iniyarajan86/langchain-tutorial-for-beginners-build-your-first-ai-agent-3klo,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
@matteo_davena,2,Dev.to,tutorial_or_implementation,Tier 2,https://dev.to,Developer blogger,Building Your First AI Agent in C# with Microsoft Agent Framework - DEV Community ; Building Your First AI Agent in C# with Microsoft Agent Framework - DEV Community,https://dev.to/matteo_davena/building-your-first-ai-agent-in-c-with-microsoft-agent-framework-i33 ; https://dev.to/matteo_davena/building-your-first-ai-agent-in-c-with-microsoft-agent-framework-i33,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
@midas126,2,Dev.to,tutorial_or_implementation,Tier 2,https://dev.to,Developer blogger,Building Your Own AI Agent: A Practical Guide with LangGraph - DEV Community ; Building Your Own AI Agent: A Practical Guide with LangGraph - DEV Community,https://dev.to/midas126/building-your-own-ai-agent-a-practical-guide-with-langgraph-1g4n ; https://dev.to/midas126/building-your-own-ai-agent-a-practical-guide-with-langgraph-1g4n,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
@onurcinar,2,Dev.to,self_evolving_agent,Tier 2,https://dev.to,Developer blogger,The Self-Evolving AI Agent: How to Stop Correcting Your LLM Twice - DEV Community ; The Self-Evolving AI Agent: How to Stop Correcting Your LLM Twice - DEV Community,https://dev.to/onurcinar/the-self-evolving-ai-agent-how-to-stop-correcting-your-llm-twice-15kj ; https://dev.to/onurcinar/the-self-evolving-ai-agent-how-to-stop-correcting-your-llm-twice-15kj,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
@truongpx396,2,Dev.to,tutorial_or_implementation,Tier 2,https://dev.to,Developer blogger,🤖 nanobot: A Comprehensive Build-Your-Own Guide 📚 - DEV Community ; 🤖 nanobot: A Comprehensive Build-Your-Own Guide 📚 - DEV Community,https://dev.to/truongpx396/nanobot-a-comprehensive-build-your-own-guide-39f ; https://dev.to/truongpx396/nanobot-a-comprehensive-build-your-own-guide-39f,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
@xynstr,2,Dev.to,self_evolving_agent,Tier 2,https://dev.to,Developer blogger,AION – Building an Autonomous AI Agent with Self-Improvement (Python + Web UI) - DEV Community ; AION – Building an Autonomous AI Agent with Self-Improvement (Python + Web UI) - DEV Community,https://dev.to/xynstr/aion-building-an-autonomous-ai-agent-with-self-improvement-python-web-ui-i85 ; https://dev.to/xynstr/aion-building-an-autonomous-ai-agent-with-self-improvement-python-web-ui-i85,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
@yedanyagamiaicmd,2,Dev.to,self_evolving_agent,Tier 2,https://dev.to,Developer blogger,How to Build Self-Evolving AI Agents That Improve Without Human Intervention - DEV Community ; How to Build Self-Evolving AI Agents That Improve Without Human Intervention - DEV Community,https://dev.to/yedanyagamiaicmd/how-to-build-self-evolving-ai-agents-that-improve-without-human-intervention-2317 ; https://dev.to/yedanyagamiaicmd/how-to-build-self-evolving-ai-agents-that-improve-without-human-intervention-2317,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
aas.net.cn,2,aas.net.cn,self_evolving_agent,Tier 3,https://aas.net.cn,unknown,基于多智能体强化学习的流程工业多操作参数协同优化 ; 基于多智能体强化学习的流程工业多操作参数协同优化,https://aas.net.cn/cn/article/doi/10.16383/j.aas.c250308 ; https://aas.net.cn/cn/article/doi/10.16383/j.aas.c250308,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
aclanthology.cn,2,aclanthology.cn,self_evolving_agent,Tier 3,https://aclanthology.cn,unknown,EvoAgentX：一种用于演化代理工作流的自动化框架 - ACL Anthology - 计算语言学协会文献库 ; EvoAgentX：一种用于演化代理工作流的自动化框架 - ACL Anthology - 计算语言学协会文献库,https://aclanthology.cn/2025.emnlp-demos.47/ ; https://aclanthology.cn/2025.emnlp-demos.47/,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
aegismemory.com,2,aegismemory.com,self_evolving_agent,Tier 3,https://www.aegismemory.com,unknown,Self-Improving AI Agents: The ACE Pattern Explained | Aegis Memory Blog ; Self-Improving AI Agents: The ACE Pattern Explained | Aegis Memory Blog,https://www.aegismemory.com/blog/self-improving-ai-agents-ace-pattern/ ; https://www.aegismemory.com/blog/self-improving-ai-agents-ace-pattern/,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
aiorang.com,2,aiorang.com,self_evolving_agent,Tier 3,https://aiorang.com,unknown,从零开始构建自进化智能体的心路历程 - 智猩猩 ; 从零开始构建自进化智能体的心路历程 - 智猩猩,https://aiorang.com/article/avmOhnW.html ; https://aiorang.com/article/avmOhnW.html,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
aipuzi.cn,2,aipuzi.cn,self_evolving_agent,Tier 3,https://www.aipuzi.cn,unknown,AgentEvolver：阿里通义开源的AI智能体自主进化框架，赋能自主任务生成与高效策略优化 | AI铺子 ; AgentEvolver：阿里通义开源的AI智能体自主进化框架，赋能自主任务生成与高效策略优化 | AI铺子,https://www.aipuzi.cn/ai-news/agentevolver.html ; https://www.aipuzi.cn/ai-news/agentevolver.html,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
andela.com,2,andela.com,self_evolving_agent,Tier 3,https://www.andela.com,unknown,Inside the Architecture of Self-Improving LLM Agents ; Inside the Architecture of Self-Improving LLM Agents,https://www.andela.com/blog/inside-the-architecture-of-self-improving-llm-agents-eb6e9 ; https://www.andela.com/blog/inside-the-architecture-of-self-improving-llm-agents-eb6e9,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
apxml.com,2,apxml.com,agent_discussion_resource,Tier 3,https://apxml.com,unknown,LLM 代理记忆：短期与长期 ; LLM 代理记忆：短期与长期,https://apxml.com/zh/courses/multi-agent-llm-systems-design-implementation/chapter-2-architecting-agents-defining-roles/memory-mechanisms-llm-agents ; https://apxml.com/zh/courses/multi-agent-llm-systems-design-implementation/chapter-2-architecting-agents-defining-roles/memory-mechanisms-llm-agents,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
arize.com,2,arize.com,agent_discussion_resource,Tier 3,https://arize.com,unknown,Multiagent Finetuning: A Conversation with Researcher Yilun Du ; Multiagent Finetuning: A Conversation with Researcher Yilun Du,https://arize.com/blog/multiagent-finetuning-a-conversation-with-researcher-yilun-du/ ; https://arize.com/blog/multiagent-finetuning-a-conversation-with-researcher-yilun-du/,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
bbs.wps.cn,2,bbs.wps.cn,self_evolving_agent,Tier 3,https://bbs.wps.cn,unknown,灵犀Claw实战：从零搭建一个会自我进化的AI Agent（二）实时记忆 ; 灵犀Claw实战：从零搭建一个会自我进化的AI Agent（二）实时记忆,https://bbs.wps.cn/topic/87035 ; https://bbs.wps.cn/topic/87035,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
betteryeah.com,2,betteryeah.com,agent_discussion_resource,Tier 3,https://www.betteryeah.com,unknown,智能体工作流：驱动企业竞争力新飞跃 - BetterYeah AI ; 智能体工作流：驱动企业竞争力新飞跃 - BetterYeah AI,https://www.betteryeah.com/blog/intelligent-agent-workflow-driving-new-leap-in-enterprise-competitiveness ; https://www.betteryeah.com/blog/intelligent-agent-workflow-driving-new-leap-in-enterprise-competitiveness,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
blog.exit.st,2,blog.exit.st,self_evolving_agent,Tier 3,https://blog.exit.st,unknown,How to Build Self-Improving AI Agents with OpenClaw: Complete Guide to the Self-Improving Agent Skill ; How to Build Self-Improving AI Agents with OpenClaw: Complete Guide to the Self-Improving Agent Skill,https://blog.exit.st/openclaw-self-improving-agent-complete-guide/ ; https://blog.exit.st/openclaw-self-improving-agent-complete-guide/,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
blog.omnichat.ai,2,blog.omnichat.ai,tutorial_or_implementation,Tier 3,https://blog.omnichat.ai,unknown,AI Agent 應用指南：AI 代理即服務AaaS 如何落地商業流程與營運升級 ; AI Agent 應用指南：AI 代理即服務AaaS 如何落地商業流程與營運升級,https://blog.omnichat.ai/hk/aaas-ai-agent-business-zh/ ; https://blog.omnichat.ai/hk/aaas-ai-agent-business-zh/,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
blog.pebblous.ai,2,blog.pebblous.ai,self_evolving_agent,Tier 3,https://blog.pebblous.ai,unknown,AI That Rewrites Itself — Self-Referential Agents | Pebblous ; AI That Rewrites Itself — Self-Referential Agents | Pebblous,https://blog.pebblous.ai/project/AgenticAI/hyperagents-self-improve/en/ ; https://blog.pebblous.ai/project/AgenticAI/hyperagents-self-improve/en/,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
blog.segmentfault.com,2,SegmentFault,self_evolving_agent,Tier 3,http://blog.segmentfault.com,unknown,人工智能 - 让 AI 智能体学会自我进化：Agent Lightning 实战入门 - deephub - SegmentFault 思否 ; 人工智能 - 让 AI 智能体学会自我进化：Agent Lightning 实战入门 - deephub - SegmentFault 思否,http://blog.segmentfault.com/a/1190000047586085 ; http://blog.segmentfault.com/a/1190000047586085,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
blog.themenonlab.com,2,blog.themenonlab.com,evaluation_benchmark,Tier 3,https://blog.themenonlab.com,unknown,Hindsight: Agent Memory That Actually Learns (Not Just Remembers) ; Hindsight: Agent Memory That Actually Learns (Not Just Remembers),https://blog.themenonlab.com/blog/hindsight-agent-memory-biomimetic-learns ; https://blog.themenonlab.com/blog/hindsight-agent-memory-biomimetic-learns,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
botpress.com,2,botpress.com,tutorial_or_implementation,Tier 3,https://botpress.com,unknown,AI智能体入门构建指南（2026） - Botpress ; AI智能体入门构建指南（2026） - Botpress,https://botpress.com/zh-cn/blog/build-ai-agent ; https://botpress.com/zh-cn/blog/build-ai-agent,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
chenxutan.com,2,chenxutan.com,self_evolving_agent,Tier 3,https://chenxutan.com,unknown,GenericAgent：3.3K行种子代码如何长成全系统控制能力——自进化AI Agent框架深度解析-程序员茄子 ; GenericAgent：3.3K行种子代码如何长成全系统控制能力——自进化AI Agent框架深度解析-程序员茄子,https://chenxutan.com/d/1938.html ; https://chenxutan.com/d/1938.html,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
cloud.baidu.com,2,cloud.baidu.com,self_evolving_agent,Tier 3,https://cloud.baidu.com,unknown,极简开发新范式：20行代码激活AI Agent，重构软件生产逻辑 ; 极简开发新范式：20行代码激活AI Agent，重构软件生产逻辑,https://cloud.baidu.com/article/4874258 ; https://cloud.baidu.com/article/4874258,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
cloud.google.com,2,cloud.google.com,self_evolving_agent,Tier 1,https://cloud.google.com,unknown,什么是AI 智能体？定义、应用场景和类型 - Google Cloud ; 什么是AI 智能体？定义、应用场景和类型 - Google Cloud,https://cloud.google.com/discover/what-are-ai-agents?hl=zh-CN ; https://cloud.google.com/discover/what-are-ai-agents?hl=zh-CN,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
cloud.tencent.cn,2,cloud.tencent.cn,agent_discussion_resource,Tier 3,https://cloud.tencent.cn,unknown,吴恩达：AI 智能体工作流-腾讯云开发者社区-腾讯云 ; 吴恩达：AI 智能体工作流-腾讯云开发者社区-腾讯云,https://cloud.tencent.cn/developer/article/2420850 ; https://cloud.tencent.cn/developer/article/2420850,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
co-r-e.com,2,co-r-e.com,tutorial_or_implementation,Tier 3,https://co-r-e.com,unknown,Agent Workflow Optimization: How Meta-tools Can Cut Your LLM Agent Costs by 12% ; Agent Workflow Optimization: How Meta-tools Can Cut Your LLM Agent Costs by 12%,https://co-r-e.com/method/agent-workflow-optimization ; https://co-r-e.com/method/agent-workflow-optimization,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
contextual.ai,2,contextual.ai,tutorial_or_implementation,Tier 3,https://contextual.ai,unknown,Demystifying Agent Memory | Contextual AI ; Demystifying Agent Memory | Contextual AI,https://contextual.ai/blog/demystifying-agent-memory ; https://contextual.ai/blog/demystifying-agent-memory,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
daiwk.net,2,daiwk.net,agent_discussion_resource,Tier 3,https://www.daiwk.net,unknown,5.llm_agentic - collections ; 5.llm_agentic - collections,https://www.daiwk.net/5.llm_agentic ; https://www.daiwk.net/5.llm_agentic,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
datawhalechina.github.io,2,datawhalechina.github.io,tutorial_or_implementation,Tier 1,https://datawhalechina.github.io,unknown,AI Agent 与工具调用| Easy-Vibe 教程 ; AI Agent 与工具调用| Easy-Vibe 教程,https://datawhalechina.github.io/easy-vibe/zh-cn/appendix/8-artificial-intelligence/ai-agents.html ; https://datawhalechina.github.io/easy-vibe/zh-cn/appendix/8-artificial-intelligence/ai-agents.html,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
developer.volcengine.com,2,developer.volcengine.com,agent_framework,Tier 3,https://developer.volcengine.com,unknown,LLM之Agent（四十）｜AI Agents（九）：Agentic Memory介绍 - 文章 - 开发者社区 - 火山引擎 ; LLM之Agent（四十）｜AI Agents（九）：Agentic Memory介绍 - 文章 - 开发者社区 - 火山引擎,https://developer.volcengine.com/articles/7584046616881938459 ; https://developer.volcengine.com/articles/7584046616881938459,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
developersdigest.tech,2,developersdigest.tech,self_evolving_agent,Tier 3,https://www.developersdigest.tech,unknown,Self-Improving AI Agents: Building Systems That Learn From Their Mistakes - Developers Digest ; Self-Improving AI Agents: Building Systems That Learn From Their Mistakes - Developers Digest,https://www.developersdigest.tech/blog/self-improving-ai-agents ; https://www.developersdigest.tech/blog/self-improving-ai-agents,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
