repo,url,stars,inferred_language,inferred_category,file_count_visible,key_files,content_timestamp,time_slice,file
evomap/awesome-agent-evolution,https://github.com/evomap/awesome-agent-evolution,123,Markdown,evolution,10,Latest commit History54 Commits54 Commits; .github; data; scripts; .gitignore; AGENTS.md; CONTRIBUTING.md; LICENSE; README.md; View all files,2026-05-21,2026-05,raw-github/evomap_awesome-agent-evolution.md
evomap/evolver,https://github.com/evomap/evolver,7,Markdown,evolution,19,Latest commit History72 Commits72 Commits; .github; assets; examples; scripts; src; test; .gitignore; .npmignore; CONTRIBUTING.md; LICENSE; README.ja-JP.md; README.ko-KR.md; README.md; README.zh-CN.md; SKILL.md; index.js; package.json; View all files,2026-02-01,2026-02,raw-github/evomap_evolver.md
evotai/evot,https://github.com/evotai/evot,54,Markdown,evolution,14,Latest commit History697 Commits697 Commits; .github; cli; src; .gitignore; AGENTS.md; Cargo.lock; Cargo.toml; Makefile; README.md; install.sh; rust-toolchain.toml; rustfmt.toml; View all files,2026-05-17,2026-05,raw-github/evotai_evot.md
exoskeletonzj/mars,https://github.com/exoskeletonzj/mars,18,Python,prompt-optimization,14,Latest commit History13 Commits13 Commits; Dataset; Dataset_format; Output; Preprocess; Prompt; Agents.py; Config.py; README.md; environment.yml; main_MARS.py; requirements.txt; run.sh; View all files,unknown,unknown,raw-github/exoskeletonzj_mars.md
facebookresearch/drzero,https://github.com/facebookresearch/drzero,515,Shell,research-agent,23,Latest commit History7 Commits7 Commits; config; scripts; search; verl; .gitignore; CODE_OF_CONDUCT.md; CONTRIBUTING.md; LICENSE.md; README.md; convert.sh; iter1_challenger.sh; iter1_gen_data.sh; iter1_solver.sh; iter2_challenger.sh; iter2_gen_data.sh; iter2_solver.sh; iter3_challenger.sh; iter3_gen_data.sh; iter3_solver.sh,2026-05-21,2026-05,raw-github/facebookresearch_drzero.md
facebookresearch/hyperagents,https://github.com/facebookresearch/hyperagents,2,Python,memory,23,Latest commit History9 Commits9 Commits; agent; analysis; baselines; domains; utils; .gitignore; CODE_OF_CONDUCT.md; CONTRIBUTING.md; Dockerfile; LICENSE.md; README.md; ensemble.py; generate_loop.py; meta_agent.py; requirements.txt; requirements_dev.txt; run_meta_agent.py; run_task_agent.py; select_next_parent.py,2026-05-21,2026-05,raw-github/facebookresearch_hyperagents.md
fareedkhan-dev/autonomous-agentic-rag,https://github.com/fareedkhan-dev/autonomous-agentic-rag,139,Unknown,memory,0,,unknown,unknown,raw-github/fareedkhan-dev_autonomous-agentic-rag.md
faveos8758/reflexion-agent-ts,https://github.com/faveos8758/reflexion-agent-ts,20,TypeScript/JavaScript,evaluation,15,Latest commit History2 Commits2 Commits; src; tests; .dockerignore; .env.example; .gitignore; Dockerfile; LICENSE; README.md; docker-compose.yml; package-lock.json; package.json; tsconfig.json; vitest.config.ts; View all files,unknown,unknown,raw-github/faveos8758_reflexion-agent-ts.md
feesuu/cluerag,https://github.com/feesuu/cluerag,26,Python,memory,14,Latest commit History4 Commits4 Commits; data; dataset; fig; generation; index; llm; retrieval; utils; .gitignore; README.md; main.py; requirements.txt; View all files,unknown,unknown,raw-github/feesuu_cluerag.md
feiliu36/eoh,https://github.com/feiliu36/eoh,319,Markdown,evolution,12,Latest commit History89 Commits89 Commits; baseline/funsearch; docs; eoh; examples; .gitattributes; .gitignore; LICENSE; README.md; README_CN.md; version_log.txt; View all files,unknown,unknown,raw-github/feiliu36_eoh.md
feiliu36/llm4opt,https://github.com/feiliu36/llm4opt,367,Markdown,research-agent,5,Latest commit History118 Commits118 Commits; figures; .gitattributes; README.md; View all files,unknown,unknown,raw-github/feiliu36_llm4opt.md
flowersteam/teachmyagent,https://github.com/flowersteam/teachmyagent,77,Python,evaluation,14,Latest commit History46 Commits46 Commits; .github/workflows; TeachMyAgent; benchmark_scripts; notebooks; .gitignore; CONTRIBUTING.md; LICENSE; README.md; run.py; setup.py; slurm_campain_launcher.py; to_run.txt; View all files,unknown,unknown,raw-github/flowersteam_teachmyagent.md
fusionbrainlab/gigaevo-core,https://github.com/fusionbrainlab/gigaevo-core,116,Markdown,evolution,19,"Latest commit History1,047 Commits1,047 Commits; .github/workflows; config; docs; gigaevo; problems; tests; tools; .gitignore; .pre-commit-config.yaml; CHANGELOG.md; LICENSE; README.md; README_memory.md; README_memory_platform_run.md; pyproject.toml; pytest.ini; run.py; View all files",unknown,unknown,raw-github/fusionbrainlab_gigaevo-core.md
galaxy-brain-ai/mcog-core,https://github.com/galaxy-brain-ai/mcog-core,19,Markdown,research-agent,4,Latest commit History6 Commits6 Commits; README.md; mcog-core.ttl; View all files,unknown,unknown,raw-github/galaxy-brain-ai_mcog-core.md
garrus800-stack/genesis-agent,https://github.com/garrus800-stack/genesis-agent,24,Markdown,evaluation,32,Latest commit History109 Commits109 Commits; .github; docs; plugins; schemas; scripts; src; test; types; .gitignore; ARCHITECTURE.md; AUDIT-BACKLOG.md; CHANGELOG-v7.md; CHANGELOG.md; CODE_OF_CONDUCT.md; CONTRIBUTING.md; Genesis-Start.bat; LICENSE; README.md; RELEASE_NOTES.md,unknown,unknown,raw-github/garrus800-stack_genesis-agent.md
gensi-thuair/flex,https://github.com/gensi-thuair/flex,78,Python,evaluation,25,Latest commit History8 Commits8 Commits; asset; build/lib; data; docs; exps; prompts; utils; LICENSE; README.md; actor.py; critic.py; explib.py; icl.py; memory_retriever.py; pyproject.toml; rate_limiter.py; reject_sampling.py; test_aime.py; test_flex.py,2026-05-21,2026-05,raw-github/gensi-thuair_flex.md
george-salafatinos/tictactoe-self-play,https://github.com/george-salafatinos/tictactoe-self-play,0,Python,coding-agent,16,Latest commit History19 Commits19 Commits; hyperparam_plots_coplay_reinforce; hyperparam_plots_self-play_reinforce; imgs; models; static; templates; training; utils; .gitignore; README.md; __init__.py; app.py; requirements.txt; setup.py; View all files,unknown,unknown,raw-github/george-salafatinos_tictactoe-self-play.md
gepa-ai/gepa,https://github.com/gepa-ai/gepa,4,Markdown,prompt-optimization,20,Latest commit History791 Commits791 Commits; .github; assets; docs; examples; src/gepa; tests; .gitattributes; .gitignore; .pre-commit-config.yaml; AGENTS.md; CITATION.cff; CLAUDE.md; CONTRIBUTING.md; LICENSE; README.md; pyproject.toml; pyrightconfig.json; uv.lock; View all files,unknown,unknown,raw-github/gepa-ai_gepa.md
gepa-ai/optimize-anything-artifact,https://github.com/gepa-ai/optimize-anything-artifact,0,Markdown,prompt-optimization,21,Latest commit History794 Commits794 Commits; .github; acm_cais_artifact_evaluation; assets; docs; examples; src/gepa; tests; .gitattributes; .gitignore; .pre-commit-config.yaml; AGENTS.md; CITATION.cff; CLAUDE.md; CONTRIBUTING.md; LICENSE; README.md; pyproject.toml; pyrightconfig.json; uv.lock,unknown,unknown,raw-github/gepa-ai_optimize-anything-artifact.md
ghy0501/awesome-continual-learning-in-generative-models,https://github.com/ghy0501/awesome-continual-learning-in-generative-models,151,Markdown,education-list,4,Latest commit History31 Commits31 Commits; figures; README.md; View all files,unknown,unknown,raw-github/ghy0501_awesome-continual-learning-in-generative-models.md
graph-rag/graphrag,https://github.com/graph-rag/graphrag,574,Markdown,memory,3,Latest commit History45 Commits45 Commits; README.md; View all files,unknown,unknown,raw-github/graph-rag_graphrag.md
greyhaven-ai/autocontext,https://github.com/greyhaven-ai/autocontext,1,Markdown,memory,28,"Latest commit History1,622 Commits1,622 Commits; .github; autocontext; docs; examples; fixtures/cross-runtime; infra; knowledge; packages; pi; protocol; runs; scripts; skills; ts; .env.example; .gitignore; .prettierrc.json; AGENTS.md; CHANGELOG.md",2026-04-28,2026-04,raw-github/greyhaven-ai_autocontext.md
gumbel-ai/agent-debate,https://github.com/gumbel-ai/agent-debate,12,Markdown,framework,11,Latest commit History33 Commits33 Commits; assets; debates; .gitignore; README.md; TEMPLATE.md; agent-guardrails.md; debate.config.json; install.sh; orchestrate.sh; View all files,2026-03-07,2026-03,raw-github/gumbel-ai_agent-debate.md
gustolychees/contribai,https://github.com/gustolychees/contribai,0,Markdown,evaluation,26,Latest commit History130 Commits130 Commits; .agents; .github; contribai; docs; plans/reports; scripts; tests; .editorconfig; .gitattributes; .gitignore; AGENTS.md; CHANGELOG.md; CONTRIBUTING.md; Dockerfile; HALL_OF_FAME.md; LICENSE; Makefile; README.md; SECURITY.md,unknown,unknown,raw-github/gustolychees_contribai.md
hankbesser/recursive-agents,https://github.com/hankbesser/recursive-agents,39,Python,evolution,15,Latest commit History67 Commits67 Commits; core; demos; docs; images; recursive_agents; templates; tests; .gitignore; CONTRIBUTING.md; LICENSE; README.md; pyproject.toml; streamlit_app.py; View all files,unknown,unknown,raw-github/hankbesser_recursive-agents.md
hao-cyber/skill-evolution,https://github.com/hao-cyber/skill-evolution,145,Markdown,evolution,12,Latest commit History13 Commits13 Commits; references; scripts; .env.example; .gitignore; CONTRIBUTING.md; LICENSE; README.md; ROADMAP.md; SKILL.md; setup.sql; View all files,2026-05-21,2026-05,raw-github/hao-cyber_skill-evolution.md
haotang1995/worldcoder,https://github.com/haotang1995/worldcoder,11,Python,coding-agent,8,Latest commit History4 Commits4 Commits; assets; worldcoder; .gitignore; LICENSE; README.md; requirements.txt; View all files,unknown,unknown,raw-github/haotang1995_worldcoder.md
haoxufd/openrlhf,https://github.com/haoxufd/openrlhf,0,Python,framework,18,"Latest commit History1,461 Commits1,461 Commits; .github/workflows; dockerfile; docs; examples; openrlhf; .gitignore; .pre-commit-config.yaml; CONTRIBUTING.md; LICENSE; README.md; README_ja.md; README_zh.md; pyproject.toml; requirements.txt; setup.py; version.txt; View all files",unknown,unknown,raw-github/haoxufd_openrlhf.md
hkuds/ai-researcher,https://github.com/hkuds/ai-researcher,5,Python,research-agent,18,Latest commit History35 Commits35 Commits; assets; benchmark; benchmark_collection; docker; examples; paper_agent; research_agent; .env.template; .gitignore; Communication.md; README.md; global_state.py; main_ai_researcher.py; pyproject.toml; setup.cfg; web_ai_researcher.py; View all files,unknown,unknown,raw-github/hkuds_ai-researcher.md
hkuds/openspace,https://github.com/hkuds/openspace,6,Python,evolution,14,Latest commit History74 Commits74 Commits; assets; frontend; gdpval_bench; openspace; showcase; .gitignore; COMMUNICATION.md; LICENSE; README.md; README_CN.md; pyproject.toml; requirements.txt; View all files,2026-04-16,2026-04,raw-github/hkuds_openspace.md
hkust-knowcomp/awesome-llm-scientific-discovery,https://github.com/hkust-knowcomp/awesome-llm-scientific-discovery,344,Markdown,research-agent,6,Latest commit History34 Commits34 Commits; LICENSE; README.md; main.pdf; taxonomy.png; View all files,unknown,unknown,raw-github/hkust-knowcomp_awesome-llm-scientific-discovery.md
huggingface/agents-course,https://github.com/huggingface/agents-course,28,Markdown,education-list,10,"Latest commit History1,781 Commits1,781 Commits; .github; quiz; scripts; translation_agreements/ru; units; .gitignore; LICENSE; README.md; View all files",unknown,unknown,raw-github/huggingface_agents-course.md
huggingface/smolagents,https://github.com/huggingface/smolagents,27,Markdown,evaluation,18,"Latest commit History1,043 Commits1,043 Commits; .github; docs; examples; src/smolagents; tests; .gitignore; .pre-commit-config.yaml; AGENTS.md; CODE_OF_CONDUCT.md; CONTRIBUTING.md; LICENSE; Makefile; README.md; SECURITY.md; e2b.toml; pyproject.toml; View all files",unknown,unknown,raw-github/huggingface_smolagents.md
human-agent-society/coral,https://github.com/human-agent-society/coral,669,Markdown,evolution,26,Latest commit History115 Commits115 Commits; .claude/skills; .github; assets; blog; coral; demos; docker; docs; examples; tests; web; .dockerignore; .gitignore; .pre-commit-config.yaml; AGENTS.md; CLAUDE.md; CONTRIBUTING.md; LICENSE; README.md,2026-04-24,2026-04,raw-github/human-agent-society_coral.md
hwfengcs/dm-code-agent,https://github.com/hwfengcs/dm-code-agent,135,Markdown,evaluation,29,Latest commit History66 Commits66 Commits; .github; bench_reports; benchmarks; dm_agent; docs; evals; tests; .clinerules; .env.example; .gitignore; AGENTS.md; CHANGELOG.md; CODE_OF_CONDUCT.md; CONTRIBUTING.md; LICENSE; MCP_GUIDE.md; README.md; README_EN.md; README_FR.md,2026-05-21,2026-05,raw-github/hwfengcs_dm-code-agent.md
ibm/awesome-agentic-workflow-optimization,https://github.com/ibm/awesome-agentic-workflow-optimization,51,Markdown,evolution,5,Latest commit History9 Commits9 Commits; figs; LICENSE; README.md; View all files,unknown,unknown,raw-github/ibm_awesome-agentic-workflow-optimization.md
iii-experimental/agentos,https://github.com/iii-experimental/agentos,144,TypeScript/JavaScript,evaluation,29,Latest commit History223 Commits223 Commits; .github/workflows; agents; assets; crates; e2e; examples; hands; identity; integrations; plugin; scripts; tests; website; workers; workflows; .env.example; .gitignore; .vercelignore; ARCHITECTURE.md,2026-05-21,2026-05,raw-github/iii-experimental_agentos.md
ilearn-lab/evoharness,https://github.com/ilearn-lab/evoharness,52,Markdown,evaluation,20,Latest commit History34 Commits34 Commits; .claude; .evo-harness; .github/assets; evo_harness; examples; frontend/terminal; plugins; scripts; src/evo_harness; .gitignore; CITATION.cff; CLAUDE.md; LICENSE; LOCAL_PROVIDERS.md; README.md; README.zh-CN.md; pyproject.toml; setup_local_provider.sh; View all files,2026-05-21,2026-05,raw-github/ilearn-lab_evoharness.md
ilsilfverskiold/awesome-llm-resources-list,https://github.com/ilsilfverskiold/awesome-llm-resources-list,523,Unknown,education-list,0,,unknown,unknown,raw-github/ilsilfverskiold_awesome-llm-resources-list.md
imgeorgiev/pwm,https://github.com/imgeorgiev/pwm,68,Python,evaluation,14,Latest commit History19 Commits19 Commits; external; figures; pedagogical; results; scripts; src/pwm; .gitignore; .gitmodules; LICENSE; README.md; environment.yaml; setup.py; View all files,unknown,unknown,raw-github/imgeorgiev_pwm.md
immanuelxiv/ppo-self-play,https://github.com/immanuelxiv/ppo-self-play,20,Python,evolution,16,Latest commit History2 Commits2 Commits; checkpoints; imgs; python; report; .gitattributes; .gitignore; LICENSE; README.md; Tennis.ipynb; policy.py; ppo_agent.py; train.py; unity-environment.log; watch_trained_agent.py; View all files,unknown,unknown,raw-github/immanuelxiv_ppo-self-play.md
incidentfox/self-learning-ai-agent,https://github.com/incidentfox/self-learning-ai-agent,1,Markdown,memory,24,Latest commit History1 Commit1 Commit; .github/workflows; agent-service; config-service; infra; launch; learning-engine; meeting-bot; scripts; slack-bot; tests; web-ui; .env.example; .gitignore; BUILD_PLAN.md; CLAUDE.md; CONTRIBUTING.md; LICENSE; Makefile; README.md,unknown,unknown,raw-github/incidentfox_self-learning-ai-agent.md
inclusionai/agenticlearning,https://github.com/inclusionai/agenticlearning,106,Markdown,memory,13,Latest commit History96 Commits96 Commits; EnvTuning; FunReason-MT; FunReason/assets; RAG-R1; StressWeb; V2P; assets; .gitignore; .gitmodules; LICENSE; README.md; View all files,2024-11-20,2024-Q4,raw-github/inclusionai_agenticlearning.md
inclusionai/aworld,https://github.com/inclusionai/aworld,1,Markdown,evaluation,30,"Latest commit History4,124 Commits4,124 Commits; .github/workflows; aworld-cli; aworld-skills; aworld; aworld_gateway; docs; docs_zh; env/env_channel; examples; internal/docs; openspec/changes; readme_assets; tests; train; .dockerignore; .gitignore; Dockerfile_gaia; LICENSE; README.md",unknown,unknown,raw-github/inclusionai_aworld.md
internlm/polar,https://github.com/internlm/polar,163,Markdown,evaluation,11,Latest commit History11 Commits11 Commits; assets; examples; src/polar; verl @ 8fdc4d3; .gitignore; .gitmodules; LICENSE; README.md; README_zh-CN.md; View all files,unknown,unknown,raw-github/internlm_polar.md
internscience/internagent,https://github.com/internscience/internagent,1,Python,research-agent,24,Latest commit History45 Commits45 Commits; assets; config; docs; internagent; sci_tasks @ 9b5288e; scripts; tasks; .env.example; .env.template; .gitignore; .gitmodules; LICENSE; README.md; add_offline_mem.sh; demo.py; launch.py; launch_discovery.py; launch_qa.py; mcp_demo.py,unknown,unknown,raw-github/internscience_internagent.md
isenglab/awesomellm4apr,https://github.com/isenglab/awesomellm4apr,240,Markdown,education-list,5,Latest commit History85 Commits85 Commits; Appendix_Included_Papers.pdf; README.md; update.md; View all files,unknown,unknown,raw-github/isenglab_awesomellm4apr.md
jarvis-xs/se-agent,https://github.com/jarvis-xs/se-agent,274,Markdown,evaluation,15,Latest commit History10 Commits10 Commits; .github/workflows; SE; config/benchmarks; static/img; sweagent; tools; trajectories/demonstrations; .env.example; .gitignore; LICENSE; README.md; instruction.md; pyproject.toml; View all files,2026-05-21,2026-05,raw-github/jarvis-xs_se-agent.md
jennyzzt/awesome-open-ended,https://github.com/jennyzzt/awesome-open-ended,438,Markdown,education-list,3,Latest commit History82 Commits82 Commits; README.md; View all files,unknown,unknown,raw-github/jennyzzt_awesome-open-ended.md
jennyzzt/dgm,https://github.com/jennyzzt/dgm,2,Python,evaluation,28,Latest commit History5 Commits5 Commits; analysis; initial; initial_polyglot; misc; polyglot; prompts; swe_bench; tests; tools; utils; .dockerignore; .gitattributes; .gitignore; DGM_outer.py; Dockerfile; LICENSE; README.md; coding_agent.py; coding_agent_polyglot.py,2026-05-21,2026-05,raw-github/jennyzzt_dgm.md
kadubon/audit-closed-ai-scientist,https://github.com/kadubon/audit-closed-ai-scientist,0,Python,research-agent,26,Latest commit History4 Commits4 Commits; .github; audit_protocol; baseline_ai_scientist; benchmarks; configs; docs; figures; paper; results; scripts; simulations; tests; theory; .gitignore; CITATION.cff; LICENSE; Makefile; README.md; environment.yml,2026-03-05,2026-03,raw-github/kadubon_audit-closed-ai-scientist.md
kargarisaac/reflexion,https://github.com/kargarisaac/reflexion,7,Python,prompt-optimization,9,Latest commit History8 Commits8 Commits; images; .gitignore; README.md; example.py; poetry.lock; pyproject.toml; reflexion.py; View all files,unknown,unknown,raw-github/kargarisaac_reflexion.md
kayba-ai/recursive-improve,https://github.com/kayba-ai/recursive-improve,194,Python,evolution,16,Latest commit History11 Commits11 Commits; .agents/skills; .claude/skills; assets; examples; recursive_improve; tests; .env.example; .gitignore; LICENSE; README.md; dashboard.py; evolve_agent.py; pyproject.toml; terminal_bench_split.json; View all files,2026-05-21,2026-05,raw-github/kayba-ai_recursive-improve.md
keskival/recursive-self-improvement-suite,https://github.com/keskival/recursive-self-improvement-suite,46,Markdown,evolution,6,Latest commit History65 Commits65 Commits; lastbot-presentation; python; LICENSE; README.md; View all files,unknown,unknown,raw-github/keskival_recursive-self-improvement-suite.md
khykd/reflector,https://github.com/khykd/reflector,4,Markdown,prompt-optimization,11,Latest commit History1 Commit1 Commit; prompts; references; scripts; tests; .gitignore; LICENSE; README.md; SKILL.md; package.json; View all files,unknown,unknown,raw-github/khykd_reflector.md
knightnemo/awesome-world-models,https://github.com/knightnemo/awesome-world-models,2,Markdown,education-list,6,Latest commit History116 Commits116 Commits; assets; CONTRIBUTING.md; LICENSE.txt; README.md; View all files,unknown,unknown,raw-github/knightnemo_awesome-world-models.md
knowledgexlab/muse,https://github.com/knowledgexlab/muse,88,Python,evaluation,23,Latest commit History6 Commits6 Commits; memory; misc; prompt; toolbox; .gitattributes; .gitignore; LICENSE; README.md; agent.py; browser.py; config.yaml; demo.py; log.py; memory_manager.py; model.py; monitor.py; report.py; requirements.txt; run.py,2026-05-21,2026-05,raw-github/knowledgexlab_muse.md
kodigitaccount/2026-roadmap-for-advance-ml-ai-generative-ai-agentic-ai,https://github.com/kodigitaccount/2026-roadmap-for-advance-ml-ai-generative-ai-agentic-ai,1,Markdown,education-list,13,"Latest commit History2 Commits2 Commits; 2026 Roadmap_ Prakash Senapati - Copy.pdf; 2026 Roadmap_ Prakash Senapati.pdf; 2026 Roadmap_ Prakash Senapati.pptx; 80_AI_Generative_LLM_Agentic_Projects_DS.xlsx; AI, Gen AI & Agentic AI with Python_ Course Broucher_ New.pdf; AI_Master_Diagram_Presentation.pptx; AI_Roadmap_2026_Handout.pdf; Detailed Content.pdf; README.md; WhatsApp Image 2025-11-13 at 7.41.28 PM.jpeg; WhatsApp Image 2025-11-15 at 6.03.43 PM.jpeg; View all files",2025-11-13,2025-11,raw-github/kodigitaccount_2026-roadmap-for-advance-ml-ai-generative-ai-agentic-ai.md
krzysztofdudek/researcherskill,https://github.com/krzysztofdudek/researcherskill,223,Markdown,research-agent,13,Latest commit History45 Commits45 Commits; .claude-plugin; .github/workflows; archive; skills/researcher; .gitignore; CHANGELOG.md; CLAUDE.md; GUIDE.md; LICENSE; README.md; yggdrasil.svg; View all files,2026-05-03,2026-05,raw-github/krzysztofdudek_researcherskill.md
labicon/curricullm,https://github.com/labicon/curricullm,27,Python,evaluation,17,Latest commit History196 Commits196 Commits; .ipynb_checkpoints; configs; docs; environments; evaluation; gpt; train; traj_feedback; utils; .DS_Store; .gitignore; main.py; readme.md; requirements.txt; visualize_policy.py; View all files,unknown,unknown,raw-github/labicon_curricullm.md
lamm-mit/sciagentsdiscovery,https://github.com/lamm-mit/sciagentsdiscovery,610,Python,research-agent,7,Latest commit History60 Commits60 Commits; Notebooks; ScienceDiscovery; LICENSE.txt; README.md; setup.py; View all files,unknown,unknown,raw-github/lamm-mit_sciagentsdiscovery.md
langchain-ai/langchain,https://github.com/langchain-ai/langchain,137,Markdown,framework,18,"Latest commit History16,023 Commits16,023 Commits; .devcontainer; .github; .vscode; libs; .dockerignore; .editorconfig; .gitattributes; .gitignore; .markdownlint.json; .mcp.json; .pre-commit-config.yaml; AGENTS.md; CITATION.cff; CLAUDE.md; LICENSE; README.md; View all files",2026-05-11,2026-05,raw-github/langchain-ai_langchain.md
langchain-ai/langgraph,https://github.com/langchain-ai/langgraph,32,Markdown,framework,13,"Latest commit History6,870 Commits6,870 Commits; .github; docs; examples; libs; .gitignore; .markdownlint.json; AGENTS.md; CLAUDE.md; LICENSE; Makefile; README.md; View all files",2026-05-12,2026-05,raw-github/langchain-ai_langgraph.md
langchain-ai/langsmith-sdk,https://github.com/langchain-ai/langsmith-sdk,894,Markdown,framework,18,"Latest commit History2,675 Commits2,675 Commits; .github; .vscode; _scripts; examples; js; openapi; python; .gitattributes; .gitignore; .mlc_config.json; .pre-commit-config.yaml; .readthedocs.yml; CONTRIBUTING.md; LICENSE; Makefile; README.md; View all files",2026-05-15,2026-05,raw-github/langchain-ai_langsmith-sdk.md
langchain-ai/open-swe,https://github.com/langchain-ai/open-swe,9,Markdown,coding-agent,27,Latest commit History740 Commits740 Commits; .github; .vscode; agent; evals/reviewer; scripts; static; tests; ui; .codespellignore; .dockerignore; .gitignore; AGENTS.md; CLAUDE.md; CUSTOMIZATION.md; Dockerfile; INSTALLATION.md; LICENSE; Makefile; README.md,unknown,unknown,raw-github/langchain-ai_open-swe.md
large-model-rl-lib/openrlhf,https://github.com/large-model-rl-lib/openrlhf,0,Python,framework,19,"Latest commit History1,518 Commits1,518 Commits; .github/workflows; dockerfile; docs; examples; openrlhf; tests; .gitignore; .pre-commit-config.yaml; CONTRIBUTING.md; LICENSE; README.md; README_ja.md; README_zh.md; pyproject.toml; requirements.txt; setup.py; version.txt; View all files",unknown,unknown,raw-github/large-model-rl-lib_openrlhf.md
lastmile-ai/mcp-agent,https://github.com/lastmile-ai/mcp-agent,8,Markdown,memory,24,Latest commit History767 Commits767 Commits; .github; .vscode; docs; examples; logs; schema; scripts; src/mcp_agent; tests; .gitignore; .pre-commit-config.yaml; .prettierignore; .python-version; CONTRIBUTING.md; LICENSE; LLMS.txt; Makefile; README.md; SECURITY.md,unknown,unknown,raw-github/lastmile-ai_mcp-agent.md
lean-dojo/leanagent,https://github.com/lean-dojo/leanagent,68,Python,evaluation,22,Latest commit History529 Commits529 Commits; generator; prover; retrieval; tests; .gitignore; README.md; common.py; compute_fisher.py; custom_progress.py; custom_traced_data.py; custom_utils.py; dynamic_database.py; generate_benchmark_lean4.py; leanagent.py; leanagent_utils.py; replace_files.sh; requirements.txt; run_compute_fisher.sh; run_leanagent.sh,unknown,unknown,raw-github/lean-dojo_leanagent.md
legionio/lex-metacognition,https://github.com/legionio/lex-metacognition,0,Markdown,memory,15,Latest commit History24 Commits24 Commits; .github/workflows; lib/legion/extensions; spec; .gitignore; .rspec; .rubocop.yml; CHANGELOG.md; CLAUDE.md; Gemfile; Gemfile.lock; LICENSE; README.md; lex-metacognition.gemspec; View all files,unknown,unknown,raw-github/legionio_lex-metacognition.md
leofan90/awesome-world-models,https://github.com/leofan90/awesome-world-models,1,Unknown,education-list,0,,unknown,unknown,raw-github/leofan90_awesome-world-models.md
letta-ai/agentic-learning-sdk,https://github.com/letta-ai/agentic-learning-sdk,45,Markdown,framework,10,Latest commit History72 Commits72 Commits; .github/workflows; examples; python; typescript; .gitignore; LICENSE; README.md; pytest.ini; View all files,unknown,unknown,raw-github/letta-ai_agentic-learning-sdk.md
letta-ai/letta,https://github.com/letta-ai/letta,22,Markdown,memory,43,"Latest commit History7,464 Commits7,464 Commits; .github; alembic; assets; certs; db; examples/notebooks/data; fern; letta; otel; sandbox; scripts; tests; .dockerignore; .env.example; .gitattributes; .gitignore; .pre-commit-config.yaml; .python-version; AI_POLICY.md",2026-05-14,2026-05,raw-github/letta-ai_letta.md
lfleon9b/sakana-ai-scientist-v2,https://github.com/lfleon9b/sakana-ai-scientist-v2,1,Python,research-agent,10,Latest commit History55 Commits55 Commits; ai_scientist; docs; .gitignore; LICENSE; README.md; bfts_config.yaml; launch_scientist_bfts.py; requirements.txt; View all files,2024-05-13,2024-Q2,raw-github/lfleon9b_sakana-ai-scientist-v2.md
lightchen233/awesome-ai4research,https://github.com/lightchen233/awesome-ai4research,230,Markdown,education-list,5,Latest commit History7 Commits7 Commits; assets/images; .DS_Store; README.md; View all files,2026-05-21,2026-05,raw-github/lightchen233_awesome-ai4research.md
linear95/spag,https://github.com/linear95/spag,144,Python,evaluation,16,Latest commit History34 Commits34 Commits; configs; data; figures; tools; .gitignore; DATA_LICENSE; LICENSE; README.md; arguments.py; dataloaders.py; requirements.txt; train.py; trainers.py; utils.py; View all files,2026-05-21,2026-05,raw-github/linear95_spag.md
lingxi-agent/lingxi,https://github.com/lingxi-agent/lingxi,243,Markdown,framework,12,Latest commit History19 Commits19 Commits; docs; imgs; src; .gitignore; CLAUDE.md; LICENSE; README.md; README_backup.md; langgraph.json; pyproject.toml; View all files,2026-05-21,2026-05,raw-github/lingxi-agent_lingxi.md
llmprogram/textgrad,https://github.com/llmprogram/textgrad,0,Python,coding-agent,14,Latest commit History140 Commits140 Commits; .github; assets; evaluation; examples/notebooks; tests; textgrad; .gitignore; LICENSE; MANIFEST.in; README.md; requirements.txt; setup.py; View all files,2026-05-21,2026-05,raw-github/llmprogram_textgrad.md
lmd0311/awesome-world-model,https://github.com/lmd0311/awesome-world-model,2,Markdown,education-list,5,Latest commit History481 Commits481 Commits; .gitattributes; ContributionGuidelines.md; README.md; View all files,2026-05-21,2026-05,raw-github/lmd0311_awesome-world-model.md
logikon-ai/awesome-deliberative-prompting,https://github.com/logikon-ai/awesome-deliberative-prompting,126,Markdown,prompt-optimization,7,Latest commit History123 Commits123 Commits; .github/workflows; LICENSE; README.md; code-of-conduct.md; contributing.md; View all files,2021-03-24,early,raw-github/logikon-ai_awesome-deliberative-prompting.md
longman-max/selfthinker,https://github.com/longman-max/selfthinker,0,Python,coding-agent,7,Latest commit History1 Commit1 Commit; .gitignore; LICENSE; README.md; main.py; requirements.txt; View all files,2026-05-21,2026-05,raw-github/longman-max_selfthinker.md
longyunfeigu/learn-hermes-agent,https://github.com/longyunfeigu/learn-hermes-agent,113,Markdown,memory,15,Latest commit History16 Commits16 Commits; .github/workflows; agents; docs; illustrations; scripts; tests; web; .env.example; .gitignore; LICENSE; README-zh.md; README.md; requirements.txt; View all files,2026-05-21,2026-05,raw-github/longyunfeigu_learn-hermes-agent.md
